"","Cast_ID","Month","Location","Instrument_Time","Long","Lat","Mean_Pressure","Mean_Salinity","Mean_Temperature","Mean_Conductivity","Mean_Chloro","Mean_Turbidity","Mean_Par","Mean_DO","SD_Pressure","SD_Salinity","SD_Temperature","SD_Conductivity","SD_Chloro","SD_Turbidity","SD_Par","SD_DO","Min_Pressure","Min_Salinity","Min_Temperature","Min_Conductivity","Min_Chloro","Min_Turbidity","Min_Par","Min_DO","Max_Pressure","Max_Salinity","Max_Temperature","Max_Conductivity","Max_Chloro","Max_Turbidity","Max_Par","Max_DO"
"89","20221025_CB","October","Coral Bay",1899-12-31 11:29:00,-64.70416,18.33801,2.82046675531915,33.1289728723404,29.8724982712766,5.54494699601064,0.130667021276596,0.38114414893617,317.822513297872,5.4036625,0.0815429999999996,0.0187548900000011,0.0243146400000013,0.00212456580000068,0.0163086,0.02550072,45.619602,0.28881048,2.025,33.0826,29.8438,5.540147,0.0899,0.3325,229.66,4.6393,3.01,33.1609,29.9007,5.549108,0.1544,0.6555,723.14,8.6388
"90","20221025_FB","October","Fish Bay",1899-12-31 12:12:00,-64.76429,18.31408,4.09270870113493,33.2244406190777,29.5015974731522,5.52133624464061,0.0672365069356873,0.337007313997478,202.873985498108,5.50892596336071,0.0578213999999996,0.0268350600000059,0.00652343999999533,0.00492149069999988,0.0163086,0.0163827299999999,13.0335366,0.93492756,3.269,33.1666,29.4383,5.512815,-1e-04,0.2955,89.598,4.3091,4.266,33.256,29.5219,5.52666,0.2094,0.3939,1161.9,8.8748
"91","20221025_RB","October","Reef Bay",1899-12-31 11:54:00,-64.74412,18.31934,2.13544847192608,29.8802304843305,35.3247260838664,5.54066338176638,0.0482204690831557,0.334235323383085,165.325773987207,4.76406047008547,0.1868076,2.5522959,4.5345321,0.0177207764999994,0.01734642,0.00948863999999994,11.831148,0.984965310000001,1.518,22.6609,24.6998,5.499125,0.0123,0.3138,60.611,-139.4013,2.51,36.7201,51.8632,5.615633,0.0919,0.3573,2548.3,7.5566
"92","20221025_YP","October","Yawzi Point",1899-12-31 10:50:00,-64.72688,18.31515,3.84408549222798,30.8838996761658,33.6425470207254,5.54102436917098,0.101019883419689,0.383919235751295,500.895194300518,4.6531417746114,0.0474432,2.62931697,4.49264865000001,0.0291427268999993,0.0163086,0.01734642,157.563315,1.5189237,2.994,21.8724,25.0437,5.489182,-0.1855,0.3505,203.61,-133.1005,3.98,36.3187,54.7165,5.64922,0.1476,0.4838,1843.6,9.6779
"93","20221129_BP","November","Black Point",1899-12-31 12:56:00,-64.98577,18.34419,4.99741952983725,33.912718384569,28.1159975286317,5.47953167631103,0.0693200723327306,0.376467811934901,189.388601567209,5.75557769740808,0.0296519999999994,0.00296519999999309,0.0114160199999997,0.00205784879999926,0.0163086,0.0185324999999999,23.084082,0.0810982199999993,4.142,33.7684,28.0633,5.455973,0.0446,0.3392,132.42,4.1705,5.13,33.9966,28.1429,5.492578,0.1256,0.4374,476.44,6.7563
"94","20221129_FCT","November","Flat Cay",1899-12-31 09:35:00,-64.99686,18.31808,2.92026152197213,33.8697922293676,28.0121847266881,5.46157090836013,0.0867423901393355,0.335606591639871,74.2344919614148,5.59912015005359,0.0504083999999997,0.0163827300000013,0.0121573200000033,0.00391480530000007,0.0163086,0.0170499,3.1179078,0.0815429999999996,2.149,25.787,27.3715,5.42181,0.0459,0.2956,60.245,4.0061,3.14,34.4519,43.1764,5.547695,0.1242,0.6628,83.347,6.4749
"95","20221129_RR","November","Ruperts Rock",1899-12-31 12:26:00,-64.9254,18.3273,4.22624333151878,33.8453162221013,27.9639414262384,5.45416143331519,0.107722101252041,0.449040391943386,238.754164398476,5.97366935220468,0.0815429999999996,0.00192738000000078,0.0154190400000009,0.00181915019999882,0.0133434,0.01793946,50.527008,0.0578214000000009,3.443,33.7484,27.8988,5.442623,0.0459,0.4115,150.17,4.0167,4.441,33.881,28.0042,5.460746,0.1476,0.5939,491.96,6.8484
"96","20221129_SB","November","Saba",1899-12-31 09:15:00,-64.99686,18.30603,1.55585159235669,25.0724773248408,45.2892102547771,5.5113395522293,0.0533893630573248,0.329034585987261,71.8637592356688,-32.2766913375796,0.0563388,3.55260612000001,8.79619167,0.0337632497999999,0.01527078,0.00993341999999998,6.3410802,1.44879672,0.776,17.4998,27.9177,5.408127,0.0137,0.2952,45.248,-172.2658,1.773,33.6977,70.5261,5.608337,0.0913,0.4722,110.95,7.9498
"97","20221130_CB","November","Coral Bay",1899-12-31 10:07:00,-64.70439,18.33779,3.70529048207664,33.8439618046972,27.9476477956325,5.4522678500206,0.166676390605686,0.483293160280181,102.123521631644,5.67184590028842,0.1319514,0.0185324999999937,0.0604900800000012,0.00595560419999892,0.01719816,0.02698332,12.5072136,0.17894982,2.941,33.7249,27.8718,5.441958,0.1228,0.418,69.546,3.9398,3.939,33.9132,28.076,5.472867,0.2643,0.7612,368.37,6.6493
"98","20221130_FB","November","Fish Bay",1899-12-31 11:13:00,-64.76439,18.31411,4.04475230414747,33.4212128323699,28.2371111560694,5.42109015495392,0.0104163594470046,0.474373732718894,167.665368663594,5.96502086705202,0.0741299999999997,0.186511080000002,0.227801489999998,0.00577620959999952,0.01578969,0.0628622399999999,10.363374,0.18465783,3.243,31.3404,27.7309,5.388964,-0.0227,0.3925,131.45,4.4137,4.234,33.8266,31.3134,5.43767,0.0356,0.581,202.16,6.877
"99","20221130_MB","November","Magens Bay",1899-12-31 12:44:00,-64.93439,18.37419,3.43337314956611,34.4038768323936,28.7521808303434,5.61638776161307,0.110953905053599,0.489165186319551,99.3560689127106,5.60996632496156,0.0207563999999997,0.171388560000001,0.209343120000002,0.00532846439999949,0.0163086,0.04699842,5.693184,0.11845974,2.547,32.8689,28.252,5.596004,0.0672,0.4054,70.547,3.4871,3.534,34.7959,31.1056,5.631344,0.1544,0.7181,111.77,8.1256
"100","20221130_RB","November","Reef Bay",1899-12-31 10:55:00,-64.74497,18.31859,2.95344110718492,33.3418545346769,28.2271043067847,5.40856411301775,0.0184172555948174,0.325559069493522,678.6204204947,5.63347486662715,0.0429953999999999,0.197778840000003,0.231582120000003,0.00616539209999993,0.01319514,0.00948864000000002,770.017962,0.2609376,2.141,31.7794,27.7091,5.38038,-0.0097,0.2951,98.107,4.0342,3.132,33.8038,30.8144,5.436188,0.0583,0.485,2570.5,7.8182
"101","20221130_YP","November","Yawzi Point",1899-12-31 10:38:00,-64.27234,18.31548,3.22521508379888,33.3693836753731,28.1859961753731,5.40831661638734,0.0398152234636871,0.333400418994413,287.77636405959,5.78245634328358,0.0252041999999999,0.206081399999999,0.2349921,0.00285029850000073,0.0163086,0.01008168,46.316424,0.06241746,2.329,31.5587,27.512,5.372688,-0.0111,0.2638,106.75,3.9405,3.324,33.8169,30.78,5.434695,0.1016,0.5697,1468,6.6245
